time,pm2p5,co2,temp,humidity,voc,nox,pm1
2026-03-10T10:59:40+00:00,5.8,393,14.95,57.55,56,1,5.1
2026-03-10T11:00:40+00:00,4.9,397,15.01,57.79,77,1,4.1
2026-03-10T11:01:40+00:00,5.2,397,15.06,58.89,88,1,4.4
2026-03-10T11:02:40+00:00,5.1,402,14.99,57.52,90,1,4.2
2026-03-10T11:03:40+00:00,4.5,395,15.01,57.96,94,1,3.6
2026-03-10T11:04:40+00:00,5.3,391,15.04,57.6,94,1,4.3
2026-03-10T11:05:40+00:00,4.8,391,14.99,57.12,93,1,3.8
2026-03-10T11:06:40+00:00,3.8,396,14.95,56.95,95,1,3
2026-03-10T11:07:40+00:00,4,394,15,56.48,97,1,3.1
2026-03-10T11:08:40+00:00,3.5,397,15.26,57.99,107,1,2.6
2026-03-10T11:09:40+00:00,4.2,403,16.33,58.01,106,1,3.1
2026-03-10T11:10:40+00:00,3.5,403,17.35,54.42,102,1,2.6
2026-03-10T11:11:40+00:00,3.8,402,17.82,50.9,103,1,2.8
2026-03-10T11:12:40+00:00,4,409,18.08,48.45,100,1,2.9
2026-03-10T11:13:40+00:00,4.9,405,17.87,46.58,95,1,3.5
2026-03-10T11:14:40+00:00,3.9,408,17.61,50,103,1,2.8
2026-03-10T11:15:40+00:00,3.8,422,17.4,50.05,99,1,2.6
2026-03-10T11:16:40+00:00,4.3,416,17,48.29,96,1,2.9
2026-03-10T11:17:40+00:00,3.8,408,15.99,50.14,96,1,2.6
2026-03-10T11:18:40+00:00,3.5,400,15.41,53.64,96,1,2.4
2026-03-10T11:19:40+00:00,3.3,393,15.27,54.83,96,1,2.3
2026-03-10T11:20:40+00:00,4.2,387,15.3,57.12,99,1,2.8
2026-03-10T11:21:40+00:00,5.4,395,15.32,55.56,99,1,3.6
2026-03-10T11:22:40+00:00,4.3,403,15.29,58.83,102,1,2.8
2026-03-10T11:23:40+00:00,3.7,404,15.32,56.54,100,1,2.4
2026-03-10T11:24:40+00:00,3.3,403,15.31,55.09,98,1,2
2026-03-10T11:25:40+00:00,2.9,401,15.31,54.51,98,1,1.7
2026-03-10T11:26:40+00:00,3.1,400,15.36,54.37,99,1,1.8
2026-03-10T11:27:40+00:00,2.5,404,15.97,54.05,101,1,1.5
2026-03-10T11:28:40+00:00,3.3,398,16.5,52.3,102,1,2
2026-03-10T11:29:40+00:00,5.5,399,16.8,52.22,104,1,3.2
