time,pm2p5,co2,temp,humidity,voc,nox,pm1,battery_percent
2026-03-17T11:50:06+00:00,2.5,452,24.37,44.54,116,1,1.6,97.66
2026-03-17T11:51:06+00:00,1.8,476,24.95,45.83,121,1,1.2,97.5
2026-03-17T11:52:06+00:00,1.8,501,25.52,45.97,112,1,1.1,97.18
2026-03-17T11:53:06+00:00,6.2,510,25.27,33.87,78,1,3.9,97.03
2026-03-17T11:54:06+00:00,8.2,492,25.34,33.66,81,1,4.9,96.71
2026-03-17T11:55:06+00:00,6.9,474,25.49,33.44,90,1,3.7,96.55
2026-03-17T11:56:06+00:00,6.3,461,25.83,32.47,97,1,3,96.39
2026-03-17T11:57:06+00:00,6,459,25.76,32.43,101,1,2.8,96.08
2026-03-17T11:58:06+00:00,6.8,450,25.7,31.96,99,1,3.2,95.92
2026-03-17T11:59:06+00:00,6.5,445,25.51,32.4,100,1,3.1,95.76
2026-03-17T12:00:06+00:00,5.9,441,25.26,33.44,101,1,2.7,95.6
2026-03-17T12:01:06+00:00,6.6,436,25.32,32.93,101,1,3.1,95.45
2026-03-17T12:02:06+00:00,21.9,434,25.1,32.68,100,1,10.3,95.29
2026-03-17T12:03:06+00:00,6.8,433,21.73,37.43,100,1,3.2,95.13
2026-03-17T12:04:06+00:00,6.7,432,20.39,42.31,99,1,3.1,94.97
2026-03-17T12:05:06+00:00,7.2,427,19.6,45.49,97,1,3.4,94.81
2026-03-17T12:06:06+00:00,6.6,430,21.19,42.05,97,1,3.1,94.81
2026-03-17T12:07:06+00:00,7.3,432,21.32,40.62,97,1,3.4,94.65
2026-03-17T12:08:06+00:00,7.6,429,21.27,41.14,97,1,3.6,94.5
2026-03-17T12:09:06+00:00,7.4,428,21.08,41.15,96,1,3.5,94.34
2026-03-17T12:10:06+00:00,6.2,430,20.6,43.27,96,1,2.9,94.18
2026-03-17T12:11:06+00:00,7,427,20.62,43.97,96,1,3.3,94.02
2026-03-17T12:12:06+00:00,7.8,424,20.44,43.42,96,1,3.7,94.02
2026-03-17T12:13:06+00:00,7.7,425,20.6,43.89,96,1,3.6,93.86
2026-03-17T12:14:06+00:00,6.4,430,20.92,43.33,97,1,3,93.7
2026-03-17T12:15:06+00:00,6.4,430,21.7,43.56,101,1,3,93.7
2026-03-17T12:16:06+00:00,7.5,427,24.17,37.04,102,1,3.5,93.55
2026-03-17T12:17:06+00:00,7.2,431,23.72,37.42,102,1,3.4,93.55
2026-03-17T12:18:06+00:00,6.3,433,23.5,36.89,102,1,2.9,93.39
2026-03-17T12:19:06+00:00,7.2,430,23.38,36.67,102,1,3.4,93.39
2026-03-17T12:20:06+00:00,6.5,427,23.36,36.37,102,1,3.1,93.39
2026-03-17T12:21:06+00:00,7,425,23.46,35.03,113,1,3.3,93.23
2026-03-17T12:22:06+00:00,6.9,423,23.24,35.9,105,1,3.2,93.07
2026-03-17T12:23:06+00:00,21,424,22.97,36.31,137,1,9.9,93.07
2026-03-17T12:24:06+00:00,10.2,427,21.91,39.17,115,1,4.8,92.91
2026-03-17T12:25:06+00:00,7.1,437,20.25,41.72,87,1,3.3,92.91
2026-03-17T12:26:06+00:00,6.5,437,19.42,43.59,65,1,3.1,92.91
2026-03-17T12:27:06+00:00,6.8,435,19.42,43.95,60,1,3.2,92.75
2026-03-17T12:28:06+00:00,7,434,19.69,44.23,62,1,3.3,92.75
2026-03-17T12:29:06+00:00,7.2,442,19.61,44.64,62,1,3.4,92.6
2026-03-17T12:30:06+00:00,7,435,19.39,44.59,53,1,3.3,92.6
2026-03-17T12:31:06+00:00,7.5,437,19.15,46.26,52,1,3.5,92.6
2026-03-17T12:32:06+00:00,8.3,436,19.2,45.06,46,1,3.9,92.44
2026-03-17T12:33:06+00:00,6.5,428,19.16,44.87,40,1,3.1,92.28
2026-03-17T12:34:06+00:00,7.3,439,18.99,45.38,42,1,3.4,92.28
2026-03-17T12:35:06+00:00,7.4,437,19.04,45.36,40,1,3.5,92.28
2026-03-17T12:36:06+00:00,8.4,436,19.09,45.46,47,1,3.9,92.12
2026-03-17T12:37:06+00:00,9.5,441,19.86,45.15,51,1,4.5,92.12
2026-03-17T12:38:06+00:00,9.4,446,19.89,43.18,52,1,4.4,92.12
2026-03-17T12:39:06+00:00,8.3,458,19.89,42.32,52,1,3.9,91.96
2026-03-17T12:40:06+00:00,9,459,19.9,42.32,48,1,4.2,91.96
2026-03-17T12:41:06+00:00,8.3,457,19.93,42.49,47,1,3.9,91.96
2026-03-17T12:42:06+00:00,7.7,445,19.94,42.46,48,1,3.6,91.96
2026-03-17T12:43:06+00:00,8.8,445,19.77,42.08,47,1,4.1,91.8
2026-03-17T12:44:06+00:00,8.6,444,18.5,44.34,46,1,4.1,91.8
2026-03-17T12:45:06+00:00,9.2,442,17.81,50.76,44,1,4.3,91.8
2026-03-17T12:46:06+00:00,3.6,442,18.08,52.14,45,1,1.7,91.8
